search term,label,uri
Dorothy Dunnett,Dorothy Dunnett Society,http://id.loc.gov/authorities/names/no2013046209
Dorothy Dunnett,"Dunnett, Dorothy",http://id.loc.gov/authorities/names/n50025011
Dorothy Dunnett,"Dunnett, Dorothy. House of Niccolò",http://id.loc.gov/authorities/names/n86732737
Dorothy Dunnett,"Dunnett, Dorothy. Lymond chronicles",http://id.loc.gov/authorities/names/n97075542
Dorothy L. Sayers,"Sayers, Dorothy L. (Dorothy Leigh), 1893-1957. Short stories",http://id.loc.gov/authorities/names/n2003038132
Dorothy L. Sayers,"Sayers, Dorothy L. (Dorothy Leigh), 1893-1957. Correspondence. Selections",http://id.loc.gov/authorities/names/n95107609
Dorothy L. Sayers,"Sayers, Dorothy L. (Dorothy Leigh), 1893-1957. Poems. Selections",http://id.loc.gov/authorities/names/n98033744
Dorothy L. Sayers,"Sayers, Dorothy L. (Dorothy Leigh), 1893-1957. Clouds of witness",http://id.loc.gov/authorities/names/n2002076792
Dorothy L. Sayers,"Sayers, Dorothy L. (Dorothy Leigh), 1893-1957. Strong poison. Norwegian",http://id.loc.gov/authorities/names/no2002027060
Georgette Heyer,lookup error
Renee Vivien,no results
